Startup ID,Startup Name,Industry,Product/Service,Target Customer Segment,Region,Market Size Estimate ($M),Startup Strength,Startup Weakness,Market Opportunity,Market Threat,Political Impact Score,Economic Impact Score,Social Impact Score,Technological Impact Score,Legal Impact Score,Environmental Impact Score,Competitive Intensity Score,Risk Level,Growth Potential Score
ST001,FreshBite Solutions,FoodTech,Restaurant inventory & POS SaaS,Urban Professionals,Bengaluru,107.0,Strategic partnerships with established players,High customer churn beyond the trial period,Growing disposable income among target segment,Economic slowdown impacting discretionary spending,1,6,7,7,6,5,6,Medium,6
ST002,BrightPath Labs,EdTech,Live doubt-solving tutoring app,Tier-2/3 City Students,Southeast Asia,391.3,Strong data network effects improving with scale,Limited working capital for aggressive scaling,New regulatory framework opening up the category,Regulatory uncertainty around the sector's framework,4,3,6,9,6,3,7,Medium,6
ST003,NutriNest Labs,FoodTech,Organic food delivery platform,Health-conscious Consumers,Bengaluru,567.7,Strategic partnerships with established players,Limited working capital for aggressive scaling,Favourable government incentives for the sector,Rapid technology obsolescence and platform shifts,3,4,6,6,4,4,10,Medium,5
ST004,JurisRoot Technologies,LegalTech,Lawyer marketplace & consultation app,SMEs,Kolkata,153.4,High customer retention and repeat usage,Unproven scalability of core technology,Rising smartphone and internet penetration,Imitable business model with low switching costs,3,2,4,5,10,3,2,Medium,2
ST005,InferNest,AI/ML,Conversational AI customer support bot,Job Seekers,Mumbai,67.5,High employee retention and strong culture,High customer acquisition cost relative to LTV,Growing disposable income among target segment,Rapid technology obsolescence and platform shifts,4,6,5,10,6,5,6,Medium,6
ST006,ChargeNova,CleanTech/EV,Battery-swapping infrastructure,Logistics Companies,Mumbai,303.4,Experienced advisory board and mentor network,Low average revenue per user (ARPU),Growing disposable income among target segment,Economic slowdown impacting discretionary spending,9,4,7,8,4,10,6,Medium,6
ST007,PeopleNest,HR Tech,Employee benefits & payroll fintech,Enterprise Clients,Tier-2/3 Cities (India),587.1,Lean cost structure with healthy unit economics,Founder-dependent decision making and operations,Partnership potential with large enterprise clients,Economic slowdown impacting discretionary spending,2,3,6,8,6,1,7,Medium,7
ST008,JurisRoot Solutions,LegalTech,Contract lifecycle management SaaS,SMEs,Kolkata,354.7,Diversified and recurring revenue streams,High customer acquisition cost relative to LTV,Consolidation opportunities via M&A of smaller players,Tightening data localisation and compliance norms,5,2,3,6,9,1,6,High,2
ST009,ArenaRoot Networks,Gaming & Esports,Mobile fantasy sports platform,College Students,Kolkata,30.6,Lean cost structure with healthy unit economics,Thin operating margins in early growth phase,Partnership potential with large enterprise clients,"Talent attrition to larger, better-funded competitors",1,6,7,6,3,3,7,Low,4
ST010,MoneyMint Technologies,FinTech,UPI-based micro-lending app,Unbanked Population,Ahmedabad,368.1,Strategic partnerships with established players,Founder-dependent decision making and operations,Increasing demand for digital-first solutions,Heavy dependence on third-party aggregator platforms,4,7,5,7,7,1,7,Medium,6
ST011,MartRoot,E-commerce,B2B wholesale ordering app,Small Retailers,North America,71.8,High employee retention and strong culture,Thin operating margins in early growth phase,Largely untapped rural and semi-urban market,High customer price sensitivity limiting monetisation,6,5,8,7,4,3,8,Medium,5
ST012,PolicyLoop,InsurTech,Micro-insurance distribution platform,Urban Millennials,Tier-2/3 Cities (India),33.4,Strong data network effects improving with scale,Limited data history for risk/credit modelling,Rising smartphone and internet penetration,Potential entry of large global players into the market,4,5,7,6,8,4,5,Medium,4
ST013,TalentNova,HR Tech,AI-based recruitment screening platform,Gig Workers,Mumbai,203.8,Strong brand recall within target segment,High customer churn beyond the trial period,Increasing institutional and VC interest in the sector,Economic slowdown impacting discretionary spending,5,6,7,8,4,1,4,Low,7
ST014,CargoLoop Labs,Logistics & Supply Chain,AI-based fleet route optimization,Retail Chains,Delhi NCR,480.1,High employee retention and strong culture,Limited working capital for aggressive scaling,Growing disposable income among target segment,Rapid technology obsolescence and platform shifts,4,9,5,7,6,4,8,Medium,7
ST015,SafeNest,InsurTech,Usage-based vehicle insurance app,Rural Households,Bengaluru,430.7,Strong founding team with deep domain expertise,High customer acquisition cost relative to LTV,Growing acceptance of digital payments enabling adoption,Data privacy and cybersecurity risk exposure,5,5,3,8,7,3,6,Medium,6
ST016,EduSpark Solutions,EdTech,AI-powered test prep platform,College Students,Kolkata,228.0,Experienced advisory board and mentor network,Unproven scalability of core technology,Consolidation opportunities via M&A of smaller players,Imitable business model with low switching costs,5,5,9,5,7,3,6,Medium,5
ST017,JurisRoot,LegalTech,Compliance tracking software for SMEs,SMEs,North America,598.9,High customer retention and repeat usage,Reliance on third-party platforms for distribution,Consolidation opportunities via M&A of smaller players,Input cost / currency volatility impacting margins,4,5,1,8,8,3,3,Low,7
ST018,ShieldRoot Solutions,Cybersecurity,Phishing simulation & training tool,SMEs,Bengaluru,140.6,Lean cost structure with healthy unit economics,High customer acquisition cost relative to LTV,Increasing demand for digital-first solutions,Potential entry of large global players into the market,6,5,3,8,8,2,6,High,5
ST019,PlateNova Technologies,FoodTech,Subscription-based healthy meal service,Restaurant Owners,Bengaluru,133.4,Robust and scalable technology infrastructure,Reliance on third-party platforms for distribution,Growing disposable income among target segment,Economic slowdown impacting discretionary spending,1,4,6,6,3,5,9,Medium,3
ST020,SecNova Technologies,Cybersecurity,Phishing simulation & training tool,Enterprise Clients,Mumbai,622.9,Experienced advisory board and mentor network,Limited data history for risk/credit modelling,Partnership potential with large enterprise clients,Heavy dependence on third-party aggregator platforms,5,3,3,9,7,3,6,Medium,7
ST021,MoneyMint Networks,FinTech,Expense management app for SMEs,Unbanked Population,Southeast Asia,484.7,"Asset-light, capital-efficient business model",Limited geographic presence and city coverage,Increasing demand for digital-first solutions,"Talent attrition to larger, better-funded competitors",6,6,4,9,9,3,9,High,7
ST022,MediNest Technologies,HealthTech,AI-based diagnostic imaging tool,Senior Citizens,Bengaluru,452.6,Strong data network effects improving with scale,Limited brand awareness outside core markets,New regulatory framework opening up the category,Dependence on subsidies that may be withdrawn,7,3,7,7,8,3,6,High,6
ST023,GreenAcre Networks,AgriTech,Cold-chain logistics for perishables,Small & Marginal Farmers,North America,197.6,Robust and scalable technology infrastructure,Limited brand awareness outside core markets,Cross-selling opportunities with adjacent products,"Talent attrition to larger, better-funded competitors",7,8,7,5,6,8,6,Medium,6
ST024,QuestNest Labs,Gaming & Esports,Game streaming community app,College Students,Middle East,349.5,Robust and scalable technology infrastructure,High employee attrition in key technical roles,Potential for international/cross-border expansion,Changing consumer trends reducing relevance over time,5,5,8,5,4,3,7,Medium,5
ST025,InferNest Solutions,AI/ML,Conversational AI customer support bot,Manufacturing Companies,Tier-2/3 Cities (India),308.3,High employee retention and strong culture,Limited brand awareness outside core markets,Rising consumer awareness around sustainability,Economic slowdown impacting discretionary spending,5,4,7,8,3,5,6,Low,6
ST026,ChargeNova Labs,CleanTech/EV,EV fleet management software,Urban Commuters,Kolkata,145.6,Strong founding team with deep domain expertise,Limited data history for risk/credit modelling,Increasing demand for digital-first solutions,Heavy dependence on third-party aggregator platforms,9,7,5,7,7,7,7,High,6
ST027,FreightRoot Networks,Logistics & Supply Chain,AI-based fleet route optimization,E-commerce Sellers,Kolkata,540.7,Lean cost structure with healthy unit economics,High employee attrition in key technical roles,Favourable government incentives for the sector,Potential entry of large global players into the market,4,8,3,7,6,6,7,Medium,6
ST028,OpsRoot,SaaS / Enterprise Software,Sales CRM for SMEs,HR Teams,Mumbai,624.7,Robust and scalable technology infrastructure,Limited working capital for aggressive scaling,Cross-selling opportunities with adjacent products,Tightening data localisation and compliance norms,4,7,5,8,5,4,6,Low,9
ST029,GameLoop,Gaming & Esports,Esports tournament hosting platform,Gen Z Gamers,Bengaluru,295.8,"Asset-light, capital-efficient business model",Limited data history for risk/credit modelling,Rising consumer awareness around sustainability,Imitable business model with low switching costs,4,5,8,6,4,1,8,Medium,5
ST030,VoyageLoop,TravelTech,AI-based itinerary planning app,Budget Travellers,Bengaluru,267.1,Lean cost structure with healthy unit economics,High customer churn beyond the trial period,Potential for international/cross-border expansion,High customer price sensitivity limiting monetisation,4,5,5,7,4,2,6,Low,5
ST031,MartRoot 56,E-commerce,B2B wholesale ordering app,Small Retailers,Pune,297.7,"Asset-light, capital-efficient business model",Founder-dependent decision making and operations,Rising consumer awareness around sustainability,Changing consumer trends reducing relevance over time,3,5,7,5,6,6,10,High,4
ST032,LawLoop Technologies,LegalTech,Contract lifecycle management SaaS,Individual Consumers,Bengaluru,120.7,High employee retention and strong culture,Limited brand awareness outside core markets,Rising consumer awareness around sustainability,Data privacy and cybersecurity risk exposure,2,4,2,8,8,3,3,Low,5
ST033,QuestNest,Gaming & Esports,Game streaming community app,Mobile Gamers,Mumbai,38.1,"Asset-light, capital-efficient business model",High customer acquisition cost relative to LTV,Growing disposable income among target segment,Regulatory uncertainty around the sector's framework,5,5,8,7,2,3,6,Low,5
ST034,WattRoute Networks,CleanTech/EV,Lithium-ion battery recycling unit,Fleet Operators,Pan-India,250.3,Lean cost structure with healthy unit economics,Limited geographic presence and city coverage,Increasing demand for digital-first solutions,Funding winter restricting access to growth capital,10,5,6,7,6,7,8,High,5
ST035,TalentNova Labs,HR Tech,AI-based recruitment screening platform,Enterprise Clients,Kolkata,106.0,"Asset-light, capital-efficient business model",Inconsistent service quality across regions,Shift in consumer preference toward subscription models,Funding winter restricting access to growth capital,3,6,6,4,4,1,7,Medium,3
ST036,CargoLoop Networks,Logistics & Supply Chain,Last-mile delivery aggregator platform,SMEs,Ahmedabad,590.9,Strong data network effects improving with scale,Reliance on third-party platforms for distribution,Increasing demand for digital-first solutions,Potential entry of large global players into the market,6,5,3,5,6,5,6,Medium,4
ST037,QuestNest 12,Gaming & Esports,Mobile fantasy sports platform,Esports Enthusiasts,Pan-India,394.4,Experienced advisory board and mentor network,Inconsistent service quality across regions,Rising smartphone and internet penetration,High customer price sensitivity limiting monetisation,1,4,8,8,4,1,9,Medium,7
ST038,FreightRoot Solutions,Logistics & Supply Chain,AI-based fleet route optimization,Retail Chains,Ahmedabad,322.2,High employee retention and strong culture,Inconsistent service quality across regions,Largely untapped rural and semi-urban market,Intensifying competition from well-funded players,3,6,3,7,6,4,8,High,5
ST039,GuardMesh Technologies,Cybersecurity,Identity & access management SaaS,BFSI Companies,Pune,630.8,Lean cost structure with healthy unit economics,Limited working capital for aggressive scaling,Shift in consumer preference toward subscription models,Intensifying competition from well-funded players,5,5,6,9,7,2,4,Medium,9
ST040,HireRoot Solutions,HR Tech,AI-based recruitment screening platform,Startups,Hyderabad,455.4,Wide multi-channel distribution network,High customer acquisition cost relative to LTV,Partnership potential with large enterprise clients,Regulatory uncertainty around the sector's framework,1,7,6,5,4,2,6,Low,6
ST041,CogniRoot,AI/ML,Computer vision quality inspection system,Manufacturing Companies,Hyderabad,316.2,High employee retention and strong culture,Reliance on third-party platforms for distribution,Potential for international/cross-border expansion,Dependence on subsidies that may be withdrawn,4,6,4,8,5,4,7,Medium,5
ST042,GreenAcre Solutions,AgriTech,Farm-to-retail produce marketplace,FPOs,Pan-India,545.2,High employee retention and strong culture,Limited geographic presence and city coverage,Increasing institutional and VC interest in the sector,Rapid technology obsolescence and platform shifts,7,7,7,5,5,6,5,Medium,7
ST043,WealthBee Networks,FinTech,Neo-banking platform for freelancers,Unbanked Population,Delhi NCR,485.3,Diversified and recurring revenue streams,High employee attrition in key technical roles,New regulatory framework opening up the category,Regulatory uncertainty around the sector's framework,7,8,5,9,9,5,8,High,8
ST044,SafeNest Technologies,InsurTech,Health insurance comparison marketplace,Gig Workers,Pan-India,269.4,High employee retention and strong culture,Unproven scalability of core technology,Cross-selling opportunities with adjacent products,"Talent attrition to larger, better-funded competitors",6,5,5,9,7,4,6,Medium,7
ST045,FoodLoop,FoodTech,Cloud kitchen network,Health-conscious Consumers,Ahmedabad,599.0,Strong founding team with deep domain expertise,High employee attrition in key technical roles,Shift in consumer preference toward subscription models,Intensifying competition from well-funded players,5,6,6,3,6,6,8,High,5
ST046,VoyageLoop 49,TravelTech,Corporate travel management SaaS,Working Professionals,Bengaluru,270.8,Lean cost structure with healthy unit economics,Thin operating margins in early growth phase,Partnership potential with large enterprise clients,Data privacy and cybersecurity risk exposure,5,5,4,6,4,5,7,Medium,4
ST047,PrepWise,EdTech,Career counselling marketplace,Working Professionals,Jaipur,106.9,Robust and scalable technology infrastructure,High customer acquisition cost relative to LTV,Growing disposable income among target segment,Input cost / currency volatility impacting margins,4,4,7,8,5,3,9,High,4
ST048,GameLoop Solutions,Gaming & Esports,Casual hyper-casual gaming studio,Gen Z Gamers,Europe,429.6,Experienced advisory board and mentor network,Limited geographic presence and city coverage,Rising consumer awareness around sustainability,Changing consumer trends reducing relevance over time,2,5,8,8,2,2,8,Low,8
ST049,BrightPath,EdTech,School ERP & learning management system,K-12 Students,Ahmedabad,442.2,Strong data network effects improving with scale,Heavy dependence on a single revenue stream,Favourable government incentives for the sector,Dependence on subsidies that may be withdrawn,5,6,8,8,7,5,7,Medium,8
ST050,VoyageLoop 97,TravelTech,Corporate travel management SaaS,Working Professionals,Bengaluru,512.3,High employee retention and strong culture,High employee attrition in key technical roles,Shift in consumer preference toward subscription models,Regulatory uncertainty around the sector's framework,6,5,5,5,3,6,9,Medium,5
ST051,SkillRoot Technologies,EdTech,Skill-based micro-credential courses,K-12 Students,Tier-2/3 Cities (India),472.1,Lean cost structure with healthy unit economics,Thin operating margins in early growth phase,Rising consumer awareness around sustainability,Input cost / currency volatility impacting margins,6,7,8,6,6,2,8,High,7
ST052,CyberNest Technologies,Cybersecurity,Endpoint threat detection software,IT Companies,Delhi NCR,575.3,Strong founding team with deep domain expertise,Thin operating margins in early growth phase,Partnership potential with large enterprise clients,Regulatory uncertainty around the sector's framework,5,7,3,6,8,4,4,Medium,6
ST053,AgroVerve,AgriTech,Soil health analytics app,Rural Households,Pune,244.3,"Asset-light, capital-efficient business model",Limited brand awareness outside core markets,Increasing institutional and VC interest in the sector,"Talent attrition to larger, better-funded competitors",9,7,6,5,6,9,5,Medium,6
ST054,CargoLoop,Logistics & Supply Chain,Cross-border freight booking marketplace,SMEs,Tier-2/3 Cities (India),69.1,Lean cost structure with healthy unit economics,Limited geographic presence and city coverage,Consolidation opportunities via M&A of smaller players,Funding winter restricting access to growth capital,6,7,6,5,5,4,5,Medium,5
ST055,GreenAcre,AgriTech,Farm-to-retail produce marketplace,FPOs,Bengaluru,86.2,Strong founding team with deep domain expertise,Thin operating margins in early growth phase,New regulatory framework opening up the category,Economic slowdown impacting discretionary spending,7,4,7,4,4,8,3,Medium,3
ST056,ShieldRoot 24,Cybersecurity,Cloud data security platform,SMEs,Mumbai,236.1,Early-mover advantage in an underserved niche,Unproven scalability of core technology,Rising consumer awareness around sustainability,Regulatory uncertainty around the sector's framework,6,5,2,7,6,2,3,Medium,4
ST057,GreenCharge,CleanTech/EV,Lithium-ion battery recycling unit,Urban Commuters,Pan-India,591.1,Robust and scalable technology infrastructure,High customer acquisition cost relative to LTV,Growing acceptance of digital payments enabling adoption,Regulatory uncertainty around the sector's framework,9,5,7,5,8,10,6,High,6
ST058,RouteSense Labs,Logistics & Supply Chain,Last-mile delivery aggregator platform,SMEs,Bengaluru,413.3,Lean cost structure with healthy unit economics,Limited data history for risk/credit modelling,Shift in consumer preference toward subscription models,Potential entry of large global players into the market,5,6,6,6,5,5,5,Medium,7
ST059,WellRoot,HealthTech,On-demand home healthcare service,Rural Patients,Southeast Asia,271.9,Proprietary technology with high entry barrier,Low average revenue per user (ARPU),Favourable government incentives for the sector,Regulatory uncertainty around the sector's framework,7,5,8,6,7,3,8,High,6
ST060,QuestNest Technologies,Gaming & Esports,Casual hyper-casual gaming studio,College Students,Kolkata,383.3,Diversified and recurring revenue streams,Thin operating margins in early growth phase,Potential for international/cross-border expansion,Regulatory uncertainty around the sector's framework,3,4,5,6,5,3,9,High,4
ST061,MartRoot 21,E-commerce,Social commerce reseller platform,Tier-2/3 City Consumers,Tier-2/3 Cities (India),230.8,Strategic partnerships with established players,Limited brand awareness outside core markets,Rising consumer awareness around sustainability,Dependence on subsidies that may be withdrawn,4,4,5,5,5,4,10,High,3
ST062,PolicyLoop 25,InsurTech,Usage-based vehicle insurance app,SMEs,Southeast Asia,231.4,Robust and scalable technology infrastructure,High employee attrition in key technical roles,Rising smartphone and internet penetration,"Talent attrition to larger, better-funded competitors",4,5,6,5,9,5,3,Medium,5
ST063,WorkforceLoop,HR Tech,Employee engagement & wellness app,SMEs,Mumbai,491.6,Proprietary technology with high entry barrier,Thin operating margins in early growth phase,Consolidation opportunities via M&A of smaller players,Funding winter restricting access to growth capital,1,3,6,6,5,2,5,Low,5
ST064,MartRoot 69,E-commerce,Refurbished electronics marketplace,Urban Millennials,Bengaluru,640.0,Low customer acquisition cost via organic channels,Reliance on third-party platforms for distribution,Largely untapped rural and semi-urban market,Imitable business model with low switching costs,2,5,8,7,6,3,7,Medium,8
ST065,VitalEdge,HealthTech,Teleconsultation platform,Rural Patients,Tier-2/3 Cities (India),32.3,Early-mover advantage in an underserved niche,Heavy dependence on a single revenue stream,Shift in consumer preference toward subscription models,Heavy dependence on third-party aggregator platforms,4,7,8,7,8,5,6,Medium,6
ST066,CloudNest,SaaS / Enterprise Software,HR & payroll automation suite,HR Teams,Tier-2/3 Cities (India),161.9,Strategic partnerships with established players,Limited geographic presence and city coverage,Growing acceptance of digital payments enabling adoption,Changing consumer trends reducing relevance over time,3,6,4,7,3,1,6,Low,5
ST067,PlateNova,FoodTech,Subscription-based healthy meal service,Health-conscious Consumers,Mumbai,170.1,Lean cost structure with healthy unit economics,Limited data history for risk/credit modelling,Growing acceptance of digital payments enabling adoption,Heavy dependence on third-party aggregator platforms,2,4,7,3,7,6,8,High,3
ST068,WellRoot 82,HealthTech,Chronic disease management app,Senior Citizens,Hyderabad,307.5,Lean cost structure with healthy unit economics,Low average revenue per user (ARPU),New regulatory framework opening up the category,Regulatory uncertainty around the sector's framework,7,6,7,6,6,4,4,Medium,6
ST069,SpaceMesh,PropTech,Online property rental marketplace,NRIs,Southeast Asia,373.7,Lean cost structure with healthy unit economics,Heavy dependence on a single revenue stream,Expansion potential into Tier-2/3 cities,Rapid technology obsolescence and platform shifts,4,6,5,8,6,5,7,Medium,7
ST070,DealLoop,E-commerce,B2B wholesale ordering app,Tier-2/3 City Consumers,Pune,597.1,"Asset-light, capital-efficient business model",Founder-dependent decision making and operations,New regulatory framework opening up the category,Funding winter restricting access to growth capital,4,7,7,4,6,3,8,Medium,6
ST071,ClassNova Labs,EdTech,Vernacular language learning app,College Students,Kolkata,96.2,High employee retention and strong culture,Heavy dependence on a single revenue stream,Consolidation opportunities via M&A of smaller players,Imitable business model with low switching costs,3,7,8,7,5,6,7,Medium,6
ST072,SecNova Networks,Cybersecurity,Identity & access management SaaS,SMEs,Pune,121.3,High employee retention and strong culture,Founder-dependent decision making and operations,Growing acceptance of digital payments enabling adoption,Potential entry of large global players into the market,4,7,4,7,6,1,6,Medium,5
ST073,WorkNova,SaaS / Enterprise Software,Customer support ticketing platform,HR Teams,Mumbai,121.6,Experienced advisory board and mentor network,Founder-dependent decision making and operations,Shift in consumer preference toward subscription models,High customer price sensitivity limiting monetisation,4,6,6,9,2,1,8,Low,7
ST074,EduSpark,EdTech,Vernacular language learning app,Job Seekers,Southeast Asia,130.1,Diversified and recurring revenue streams,Heavy dependence on a single revenue stream,New regulatory framework opening up the category,Data privacy and cybersecurity risk exposure,5,5,7,8,6,4,8,High,5
ST075,TripNova,TravelTech,Bus/train ticket aggregator,Budget Travellers,Pan-India,337.8,Wide multi-channel distribution network,High employee attrition in key technical roles,Growing acceptance of digital payments enabling adoption,Intensifying competition from well-funded players,2,4,4,6,4,5,5,Low,5
ST076,SkillRoot,EdTech,Career counselling marketplace,Tier-2/3 City Students,Pune,254.1,Robust and scalable technology infrastructure,Founder-dependent decision making and operations,New regulatory framework opening up the category,Economic slowdown impacting discretionary spending,2,4,6,5,6,3,7,Medium,3
ST077,CloudNest 80,SaaS / Enterprise Software,HR & payroll automation suite,SMEs,Delhi NCR,144.1,Diversified and recurring revenue streams,Limited working capital for aggressive scaling,Favourable government incentives for the sector,Regulatory uncertainty around the sector's framework,2,8,4,8,5,1,5,Low,6
ST078,FreightRoot,Logistics & Supply Chain,AI-based fleet route optimization,SMEs,Bengaluru,6.0,Strategic partnerships with established players,Unproven scalability of core technology,Expansion potential into Tier-2/3 cities,Input cost / currency volatility impacting margins,4,7,3,7,5,4,9,High,4
ST079,FreightRoot 83,Logistics & Supply Chain,Cross-border freight booking marketplace,Manufacturing Companies,Bengaluru,15.5,High employee retention and strong culture,Limited product differentiation versus incumbents,Rising smartphone and internet penetration,Tightening data localisation and compliance norms,6,6,5,7,6,6,6,Medium,4
ST080,SunVolt,CleanTech/EV,EV fleet management software,Fleet Operators,Tier-2/3 Cities (India),45.7,Strategic partnerships with established players,Limited working capital for aggressive scaling,Increasing demand for digital-first solutions,Intensifying competition from well-funded players,9,6,5,5,5,7,8,High,3
ST081,WellRoot 38,HealthTech,Chronic disease management app,Urban Households,Tier-2/3 Cities (India),219.1,Wide multi-channel distribution network,Inconsistent service quality across regions,Largely untapped rural and semi-urban market,Data privacy and cybersecurity risk exposure,4,4,9,8,10,4,8,High,6
ST082,FreshBite Networks,FoodTech,Cloud kitchen network,Students,Kolkata,535.4,Strong founding team with deep domain expertise,Founder-dependent decision making and operations,New regulatory framework opening up the category,Dependence on subsidies that may be withdrawn,3,4,4,6,4,5,8,Medium,5
ST083,EcoVolt Networks,CleanTech/EV,Solar rooftop financing platform,Urban Commuters,Delhi NCR,416.2,Experienced advisory board and mentor network,Limited product differentiation versus incumbents,Potential for international/cross-border expansion,"Talent attrition to larger, better-funded competitors",7,7,7,9,5,9,7,Medium,8
ST084,SpaceMesh 79,PropTech,Co-living space aggregator,NRIs,North America,244.9,Strong brand recall within target segment,Limited data history for risk/credit modelling,Largely untapped rural and semi-urban market,Regulatory uncertainty around the sector's framework,6,6,5,6,7,3,4,Medium,6
ST085,MediNest Solutions,HealthTech,Generic medicine delivery platform,Rural Patients,Bengaluru,399.7,High employee retention and strong culture,High employee attrition in key technical roles,Consolidation opportunities via M&A of smaller players,"Talent attrition to larger, better-funded competitors",7,7,6,6,6,3,7,High,7
ST086,FreshBite 40,FoodTech,Subscription-based healthy meal service,Health-conscious Consumers,Tier-2/3 Cities (India),333.1,Diversified and recurring revenue streams,Limited data history for risk/credit modelling,Favourable government incentives for the sector,Regulatory uncertainty around the sector's framework,1,4,5,6,3,5,7,Low,5
ST087,MindMesh Networks,AI/ML,Conversational AI customer support bot,Job Seekers,Pan-India,536.1,Low customer acquisition cost via organic channels,Inconsistent service quality across regions,Rising smartphone and internet penetration,Input cost / currency volatility impacting margins,2,8,6,9,6,2,10,Medium,9
ST088,WorkNova Technologies,SaaS / Enterprise Software,Customer support ticketing platform,Startups,Mumbai,213.1,"Asset-light, capital-efficient business model",High customer churn beyond the trial period,Largely untapped rural and semi-urban market,Regulatory uncertainty around the sector's framework,4,5,6,10,5,1,8,Medium,7
ST089,CarePulse Labs,HealthTech,Mental wellness & therapy app,Chronic Patients,Mumbai,429.9,Lean cost structure with healthy unit economics,Limited geographic presence and city coverage,Shift in consumer preference toward subscription models,Heavy dependence on third-party aggregator platforms,7,5,8,7,9,2,4,Medium,8
ST090,RoamNest,TravelTech,Corporate travel management SaaS,Corporate Clients,Ahmedabad,199.9,Low customer acquisition cost via organic channels,High employee attrition in key technical roles,New regulatory framework opening up the category,Imitable business model with low switching costs,3,7,5,6,5,3,7,Medium,5
ST091,CropSense,AgriTech,Cold-chain logistics for perishables,Rural Households,Pan-India,337.2,High employee retention and strong culture,Limited data history for risk/credit modelling,Rising smartphone and internet penetration,Tightening data localisation and compliance norms,5,5,4,5,4,5,6,Medium,4
ST092,CropSense 26,AgriTech,Precision farming IoT sensors,Agri-input Retailers,Middle East,306.1,Diversified and recurring revenue streams,Limited data history for risk/credit modelling,New regulatory framework opening up the category,Funding winter restricting access to growth capital,9,6,4,5,5,6,4,Medium,4
ST093,SafeNest Solutions,InsurTech,Micro-insurance distribution platform,Gig Workers,Hyderabad,574.2,Experienced advisory board and mentor network,Unproven scalability of core technology,Increasing demand for digital-first solutions,Tightening data localisation and compliance norms,6,7,4,7,8,2,5,Medium,7
ST094,WorkNova Labs,SaaS / Enterprise Software,HR & payroll automation suite,HR Teams,Pune,641.5,Strategic partnerships with established players,Limited working capital for aggressive scaling,Rising smartphone and internet penetration,Heavy dependence on third-party aggregator platforms,3,5,3,8,4,1,5,Low,7
ST095,WealthBee Labs,FinTech,AI-driven credit scoring engine,Working Professionals,Bengaluru,258.5,Early-mover advantage in an underserved niche,Limited product differentiation versus incumbents,Favourable government incentives for the sector,Input cost / currency volatility impacting margins,6,8,5,8,8,3,8,High,7
ST096,OpsRoot 78,SaaS / Enterprise Software,Sales CRM for SMEs,Startups,Europe,510.0,Lean cost structure with healthy unit economics,Limited geographic presence and city coverage,Expansion potential into Tier-2/3 cities,Heavy dependence on third-party aggregator platforms,4,6,5,8,3,3,7,Low,8
ST097,CoinTrail Technologies,FinTech,Neo-banking platform for freelancers,Gig Workers,Hyderabad,275.1,Strategic partnerships with established players,High employee attrition in key technical roles,Consolidation opportunities via M&A of smaller players,High customer price sensitivity limiting monetisation,6,6,5,8,8,4,9,High,6
ST098,SpaceMesh 24,PropTech,Smart home automation platform,Working Professionals,Chennai,440.9,"Asset-light, capital-efficient business model",Inconsistent service quality across regions,Increasing demand for digital-first solutions,Imitable business model with low switching costs,6,7,6,5,6,6,5,Medium,6
ST099,UrbanRoot,PropTech,Construction project management SaaS,NRIs,Pune,607.2,"Asset-light, capital-efficient business model",Limited brand awareness outside core markets,Increasing demand for digital-first solutions,Imitable business model with low switching costs,6,5,3,7,6,6,7,High,6
ST100,AgroVerve 58,AgriTech,Crop insurance & advisory platform,Agri-input Retailers,Bengaluru,539.0,High customer retention and repeat usage,Limited brand awareness outside core markets,Favourable government incentives for the sector,Input cost / currency volatility impacting margins,6,6,5,3,6,6,2,Low,6
